City_ID,City,Country,Max Temp,City_Description,Lat,Lng,Hotel Name
607,Hue,VN,84.31,scattered clouds,16.4667,107.6,Saigon Morin Hotel
609,Tual,ID,84.34,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
611,Karratha,AU,77.63,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
613,Trang,TH,86.85,light rain,7.5,99.5,Jelly's Home
615,Sokoni,TZ,81.0,clear sky,-6.4333,39.55,Ujamaa Beach Resort
616,Yurimaguas,PE,76.21,heavy intensity rain,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
621,Camargo,MX,81.32,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
629,Mormugao,IN,83.62,light rain,15.4,73.8,Coconut Creek Resort
632,Shima,CN,75.65,overcast clouds,24.4478,117.8111,龙海钻石大酒店
634,Kokopo,PG,85.93,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
637,Madang,PG,86.97,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
639,Takoradi,GH,79.92,light rain,4.8845,-1.7554,Raybow International Hotel
642,Paracuru,BR,77.11,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
648,Alofi,NU,76.89,light intensity drizzle,-19.0595,-169.9187,Taloa Heights
650,Mabaruma,GY,75.29,clear sky,8.2,-59.7833,Monty Brooms Guest House
654,Bontang,ID,84.2,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
658,Jacareacanga,BR,75.92,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
659,Moindou,NC,77.77,broken clouds,-21.6924,165.677,Equi-lodge de Moindou
664,Kui Buri,TH,83.93,overcast clouds,12.0828,99.8543,Rista House & Resort
671,Ishigaki,JP,77.13,shower rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
672,Gushikawa,JP,80.6,overcast clouds,26.3544,127.8686,Kirari Guest House
674,Pandan,PH,85.8,overcast clouds,14.0453,124.1694,Bonifacio Lodge
678,Pangkalanbuun,ID,87.76,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
679,Boffa,GN,79.5,scattered clouds,10.1667,-14.0333,Hôtel Niara Belly
682,Yenagoa,NG,76.86,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
684,Finschhafen,PG,85.82,overcast clouds,-6.6024,147.8681,Cossam Guest House
692,Jiazi,CN,75.47,overcast clouds,22.8779,116.067,Hotel Jin Hao
699,Manokwari,ID,83.86,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
