City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City_Description
104,Homestead,US,25.4687,-80.4776,75.02,72,0,10.36,clear sky
105,Garden City,US,42.3256,-83.331,74.05,37,97,1.01,overcast clouds
106,Hasaki,JP,35.7333,140.8333,70.29,72,100,5.46,overcast clouds
107,Faya,SA,18.3851,42.4509,69.91,56,67,3.02,broken clouds
108,Aden,YE,12.7794,45.0367,83.64,73,4,9.08,clear sky
109,Oranjemund,NA,-28.55,16.4333,51.75,84,1,4.7,clear sky
110,Meulaboh,ID,4.1363,96.1285,80.44,85,92,5.37,overcast clouds
111,Usman,RU,52.0466,39.7288,41.04,97,100,10.16,light rain
112,Ust-Kulom,RU,61.6864,53.6902,44.82,79,100,7.05,overcast clouds
113,Bhainsdehi,IN,21.6467,77.6325,85.12,41,74,9.86,broken clouds
114,Nanortalik,GL,60.1432,-45.2371,35.28,88,93,6.44,overcast clouds
115,New Norfolk,AU,-42.7826,147.0587,57.92,49,100,2.17,overcast clouds
116,Sao Jose Dos Campos,BR,-23.1794,-45.8869,61.29,88,0,3.44,clear sky
117,Padang,ID,-0.9492,100.3543,82.45,71,99,1.16,overcast clouds
118,Katsuura,JP,35.1333,140.3,66.22,70,98,5.37,overcast clouds
119,Nongan,CN,44.382,125.1685,54.86,34,88,10.98,overcast clouds
120,Canico,PT,32.6333,-16.85,68.13,88,20,13.8,few clouds
121,Marawi,PH,7.9986,124.2928,78.8,77,70,1.61,broken clouds
122,Burns Lake,CA,54.2331,-125.7533,45.82,54,100,9.28,overcast clouds
123,Upernavik,GL,72.7868,-56.1549,14.2,90,29,5.84,scattered clouds
124,Saldanha,ZA,-33.0117,17.9442,59.09,93,60,3.06,broken clouds
125,Kamina,CD,-8.7386,24.9906,62.13,75,23,3.53,few clouds
126,Baykit,RU,61.67,96.37,45.82,65,25,5.3,scattered clouds
127,Naze,JP,28.3667,129.4833,74.32,68,100,2.39,overcast clouds
128,Lebu,CL,-37.6167,-73.65,51.73,77,100,6.8,overcast clouds
129,Uyuni,BO,-20.4597,-66.825,41.07,17,0,2.66,clear sky
130,Castro,BR,-24.7911,-50.0119,59.02,93,100,2.08,light rain
131,Nyrob,RU,60.733,56.7202,51.26,72,100,7.47,overcast clouds
132,Ukiah,US,39.1502,-123.2078,54.52,64,100,4.61,overcast clouds
133,Aguas Formosas,BR,-17.0822,-40.9358,64.67,84,38,1.28,scattered clouds
134,Saint George,US,37.1041,-113.5841,70.63,10,0,11.5,clear sky
135,Filadelfia,US,39.9523,-75.1638,63.7,37,78,5.01,broken clouds
136,Akdepe,TM,42.0551,59.3788,51.89,54,4,6.4,clear sky
137,Salalah,OM,17.0151,54.0924,82.56,40,6,4.85,clear sky
138,Gizo,SB,-8.103,156.8419,84.2,75,100,11.83,light rain
139,Dikson,RU,73.5069,80.5464,30.18,95,100,24.72,light snow
140,Dunedin,NZ,-45.8742,170.5036,57.02,50,14,1.99,few clouds
141,Pisco,PE,-13.7,-76.2167,64.45,82,75,3.44,broken clouds
142,Jamestown,US,42.097,-79.2353,59.05,44,84,1.99,broken clouds
143,Unai,BR,-16.3575,-46.9061,65.25,64,72,0.96,broken clouds
144,Iqaluit,CA,63.7506,-68.5145,29.93,100,100,16.11,light snow
145,Saskylakh,RU,71.9167,114.0833,24.66,92,100,3.69,light snow
146,Svetlyy,RU,54.675,20.1347,54.97,64,100,14.05,overcast clouds
147,Nicoya,CR,10.1483,-85.452,80.98,79,23,2.73,few clouds
148,Hirado,JP,33.3597,129.5531,64.78,94,100,7.14,overcast clouds
149,Evensk,RU,61.95,159.2333,32.81,99,100,11.63,light snow
150,Puerto Ayora,EC,-0.7393,-90.3518,72.55,95,19,4.0,few clouds
151,Olafsvik,IS,64.8945,-23.7142,35.11,96,100,24.4,snow
152,Palana,RU,59.1167,159.9667,38.14,77,10,10.11,clear sky
153,Talnakh,RU,69.4865,88.3972,22.21,81,45,6.17,scattered clouds
154,Guarapari,BR,-20.6667,-40.4975,68.05,89,3,5.95,clear sky
155,Bereda,ES,43.2686,-7.5406,52.57,93,52,1.43,broken clouds
156,Hobart,AU,-42.8794,147.3294,58.26,73,0,10.36,clear sky
157,Manzil Salim,TN,35.8567,8.4765,50.94,87,28,2.55,scattered clouds
158,Tupik,RU,54.4253,119.9327,31.91,71,100,13.71,light snow
159,Mawlaik,MM,23.6333,94.4167,77.07,92,98,0.6,overcast clouds
